pl_name,hostname,pl_rade,pl_orbsmax,st_teff,st_lum,teq_recalc,st_lum_linear
HD 37605 b,HD 37605,13.2,0.277,5329.0,-0.22,465.37699543012013,0.6025595860743578
HD 33283 b,HD 33283,12.5,0.1508,5935.0,0.64,1034.7707051872974,4.36515832240166
HD 9446 b,HD 9446,14.0,0.189,5793.0,0.04139,654.8794971555277,1.0999931989351934
HD 134987 c,HD 134987,13.9,5.8,5585.0,0.25527,133.7052003597855,1.799989617245593
HD 110014 b,HD 110014,12.4,2.14,4445.0,2.30408,715.9091435604291,201.4095225744611
HD 79498 b,HD 79498,13.6,2.98,5748.0,0.03,163.84630956356466,1.0715193052376064
HD 45652 b,HD 45652,14.3,0.237,5294.0,-0.2,508.944731410506,0.6309573444801932
HIP 79431 b,HIP 79431,13.4,0.36,3191.0,-1.54921,189.92889674791627,0.02823514354541168
HD 3167 b,HD 3167,1.67,0.01796,5261.0,-0.27003,1775.7594305031657,0.5369947008092392
GJ 876 b,GJ 876,13.3,0.208317,3293.74,-1.90658,203.25322237263168,0.012399951885248272
HD 114783 c,HD 114783,13.4,5.0,5135.0,-0.3725,100.33091980467358,0.4241309839104882
HD 47186 c,HD 47186,13.0,2.395,5657.0,0.04298,184.13529293053875,1.1040277763733641
HD 114783 b,HD 114783,13.7,1.16,5135.0,-0.3725,208.30073448365556,0.4241309839104882
HD 148156 b,HD 148156,13.9,2.45,6308.0,0.25042,205.14774793126034,1.7799999905367636
HD 12661 c,HD 12661,13.2,2.8145,5748.0,0.063,171.82809269512285,1.1561122421920988
HIP 14810 c,HIP 14810,13.6,0.549,5544.0,-0.01,373.0427669204565,0.9772372209558107
HIP 14810 b,HIP 14810,13.0,0.0696,5544.0,-0.01,1047.7077974525696,0.9772372209558107
GJ 876 d,GJ 876,2.51,0.02080665,3293.74,-1.90658,643.1299208053846,0.012399951885248272
GJ 876 e,GJ 876,3.92,0.3343,3293.74,-1.90658,160.44700238279677,0.012399951885248272
gam1 Leo b,gam1 Leo,12.5,1.19,4330.0,2.51,1080.8646546728776,323.5936569296281
HD 156411 b,HD 156411,14.0,1.88,5900.0,0.731,308.82743280677505,5.382697825162883
HD 8535 b,HD 8535,14.0,2.45,6136.0,0.33266,215.09323615724605,2.151097026807099
HD 37605 c,HD 37605,13.1,3.74,5329.0,-0.22,126.65110837156725,0.6025595860743578
HD 1605 c,HD 1605,13.0,3.584,4915.0,0.81,234.07810634581853,6.456542290346556
BD+20 2457 b,BD+20 2457,12.1,1.45,4137.0,3.17,1431.7289110479537,1479.1083881682073
HD 240210 b,HD 240210,12.8,1.16,4297.0,1.55,629.9641006499693,35.48133892335755
CoRoT-17 b,CoRoT-17,11.43,0.0461,5740.0,0.13421,1398.7716876287557,1.3621031585222851
HD 132563 b,HD 132563,13.6,2.62,6289.0,0.37408,213.0169441831126,2.366355556142724
HD 55696 b,HD 55696,12.9,3.18,6012.0,0.43,199.67846798312007,2.6915348039269156
HD 148164 b,HD 148164,13.7,0.993,6032.0,0.33,337.3418106777343,2.137962089502232
24 Sex c,24 Sex,13.9,2.08,5098.0,1.164,376.71518666423833,14.588142602753482
HD 22781 b,HD 22781,12.3,1.167,5027.0,-0.47556,195.71286200871353,0.334533797108499
HD 68988 b,HD 68988,13.4,0.07,5932.0,0.22184,1193.8665271703146,1.6666330891112542
HD 148164 c,HD 148164,12.8,6.15,6032.0,0.33,135.5524083394316,2.137962089502232
HD 29985 b,HD 29985,12.8,13.39,4678.0,-0.84623,46.67636286456215,0.14248527994447716
HD 3167 c,HD 3167,3.0,0.1776,5261.0,-0.27003,564.6974351715071,0.5369947008092392
HD 90156 b,HD 90156,4.43,0.25,5599.0,-0.14267,512.1619278889326,0.7199958612751897
HD 45350 b,HD 45350,13.5,1.92,5566.0,0.14065,217.54879474077057,1.3824518053904096
Kepler-595 c,Kepler-595,1.009,0.0983,5138.5,-0.34768,725.8519317904056,0.44907615960074726
Kepler-595 b,Kepler-595,3.708,0.1582,5138.5,-0.34768,572.1653535469604,0.44907615960074726
HD 177830 c,HD 177830,7.87,0.5137,4949.0,0.68502,575.3670842801748,4.841946650590344
OGLE-TR-111 b,OGLE-TR-111,11.421971,0.0473,5040.0,-0.33862,1051.8631132909084,0.4585429281990081
CoRoT-18 b,CoRoT-18,14.68,0.0295,5440.0,-0.17,1467.6881504829685,0.6760829753919817
Kepler-45 b,Kepler-45,10.76,0.03,3820.0,-1.27572,770.1124927380997,0.05300050406396649
WASP-23 b,WASP-23,10.783,0.0376,5150.0,-0.37679,1154.1263948690269,0.4199620045352495
HD 107148 b,HD 107148,9.6,0.269,5797.0,0.12081,574.6073222357921,1.320717705445317
OGLE-TR-211 b,OGLE-TR-211,15.244,0.051,6325.0,0.26657,1435.166233836666,1.847438542824738
Lupus-TR-3 b,Lupus-TR-3,9.976,0.0464,5000.0,-1.46393,555.6525421808295,0.0343613327361471
HN Peg b,HN Peg,11.7768,773.0,6186.0,0.06024,10.351780365383584,1.1487882899853132
GJ 674 b,GJ 674,3.33,0.039,3600.0,-1.796,500.6249527109308,0.01599558028614669
CoRoT-11 b,CoRoT-11,16.03,0.0436,6440.0,0.37753,1654.5658308568463,2.385228555525889
2MASS J04414489+2301513 b,2MASS J04414489+2301513,12.6,15.0,2936.0,-2.44363,17.58294697465533,0.003600559565300773
GJ 3634 b,GJ 3634,2.83,0.0287,3517.0,-1.699,617.0975860469347,0.01999861869632744
CoRoT-13 b,CoRoT-13,9.92,0.051,5945.0,0.07314,1283.9399371624725,1.18342298474004
OGLE-TR-10 b,OGLE-TR-10,14.011,0.0434,5950.0,0.188,1486.962209176847,1.5417004529495595
HD 27442 b,HD 27442,13.5,1.271,4846.0,0.8509,402.43618250055266,7.09414400453407
GJ 3021 b,GJ 3021,13.1,0.49,5540.0,-0.18,358.05253750636575,0.660693448007596
HD 221416 b,HD 221416,9.17,0.1228,5080.0,0.71181,1195.0831207818005,5.150032859002328
CoRoT-8 b,CoRoT-8,6.39,0.063,5080.0,-0.4,879.7808837126133,0.3981071705534972
Kepler-18 c,Kepler-18,5.49,0.0752,5345.0,-0.031,995.83153651448,0.9311078754678304
Kepler-18 b,Kepler-18,2.0,0.0447,5345.0,-0.031,1291.638656896991,0.9311078754678304
HD 46375 b,HD 46375,10.0,0.0398,5285.0,-0.24502,1210.1752310621648,0.568826734801459
HD 221287 b,HD 221287,13.1,1.25,6304.0,0.22011,282.2391720275488,1.6600073080838629
HD 33564 b,HD 33564,12.5,1.1,6250.0,0.53504,360.6686990611738,3.4279935808017727
HD 189733 b,HD 189733,12.66617,0.03126,5052.0,-0.46119,1205.7376133655127,0.34578806550508956
OGLE2-TR-L9 b,OGLE2-TR-L9,18.046,0.0308,6933.0,0.51197,2126.972807556667,3.2506484192608096
Kepler-4 b,Kepler-4,4.002,0.0456,5857.0,0.354,1596.1083683151746,2.2594357702209775
WASP-38 b,WASP-38,13.78707,0.07522,6180.0,0.45294,1315.5674858094198,2.837526982520752
HAT-P-13 c,HAT-P-13,12.3,1.258,5653.0,0.346,302.4854403068411,2.218196419800219
Kepler-18 d,Kepler-18,6.98,0.1172,5345.0,-0.031,797.6842002900291,0.9311078754678304
HAT-P-37 b,HAT-P-37,13.204,0.0379,5500.0,-0.208,1266.8499859211393,0.6194410750767815
HD 129445 b,HD 129445,13.3,2.9,5646.0,0.08968,171.89601034881375,1.2293626091654113
Kepler-419 c,Kepler-419,12.6,1.68,6430.0,0.7268,325.90434836167253,5.330893422367015
HD 70573 b,HD 70573,12.8,1.76,5737.0,-0.00083,209.45028807055795,0.998090679448772
HD 47536 b,HD 47536,12.6,1.93,4380.0,2.24845,730.0937680797679,177.19440307957868
WASP-67 b,WASP-67,12.89035,0.05179,5200.0,-0.29441,1031.144050700985,0.5076799359911383
CoRoT-14 b,CoRoT-14,12.22,0.027,6035.0,0.11884,1811.6442246130784,1.3147403747032786
Kepler-419 b,Kepler-419,10.8,0.37,6430.0,0.7268,694.454719774186,5.330893422367015
